Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Strategy,SubKeyEqualityByRef,KeyEqualityByRef,Mean,Error,StdDev,Scaled,ScaledSD,Gen 0,Allocated
MultiKeyMap_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForNonPositionalSearch,False,False,"12,991.90 ns",60.1971 ns,3.4012 ns,7.29,0.01,1.4038,5936 B
MultiKeyMap_Mixed_Positional_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForNonPositionalSearch,False,False,"19,068.67 ns",37.6318 ns,2.1263 ns,10.70,0.02,1.8005,7584 B
MultiKeyMap_Only_Positional_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForNonPositionalSearch,False,False,"24,959.27 ns",626.7465 ns,35.4123 ns,14.00,0.03,2.2583,9560 B
Dictionary_TryGetValue,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForNonPositionalSearch,False,False,"1,782.24 ns",57.5929 ns,3.2541 ns,1.00,0.00,0.1984,840 B
MultiKeyMap_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForNonPositionalSearch,False,True,"2,449.03 ns",47.7891 ns,2.7002 ns,123.98,0.97,0.2098,896 B
MultiKeyMap_Mixed_Positional_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForNonPositionalSearch,False,True,"5,613.85 ns",206.7769 ns,11.6833 ns,284.20,2.26,0.4044,1704 B
MultiKeyMap_Only_Positional_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForNonPositionalSearch,False,True,"9,149.74 ns",457.9730 ns,25.8763 ns,463.20,3.76,0.5951,2560 B
Dictionary_TryGetValue,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForNonPositionalSearch,False,True,19.75 ns,3.3517 ns,0.1894 ns,1.00,0.00,-,0 B
MultiKeyMap_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForNonPositionalSearch,True,False,55.19 ns,0.4109 ns,0.0232 ns,0.03,0.00,0.0190,80 B
MultiKeyMap_Mixed_Positional_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForNonPositionalSearch,True,False,83.01 ns,2.8986 ns,0.1638 ns,0.05,0.00,0.0285,120 B
