Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Strategy,SubKeyEqualityByRef,KeyEqualityByRef,Mean,Error,StdDev,Scaled,ScaledSD,Gen 0,Allocated
MultiKeyMap_TryGetFullKeysByPartialKey,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,OptimizedForNonPositionalSearch,False,False,94.11 ns,0.3647 ns,0.3411 ns,0.12,0.00,0.0190,80 B
MultiKeyMap_Mixed_Positional_TryGetFullKeysByPartialKey,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,OptimizedForNonPositionalSearch,False,False,128.98 ns,1.0667 ns,0.9978 ns,0.17,0.00,0.0284,120 B
MultiKeyMap_Only_Positional_TryGetFullKeysByPartialKey,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,OptimizedForNonPositionalSearch,False,False,128.73 ns,0.8304 ns,0.7768 ns,0.17,0.00,0.0284,120 B
Dictionary_TryGetValue,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,OptimizedForNonPositionalSearch,False,False,776.77 ns,4.2016 ns,3.9302 ns,1.00,0.00,0.0591,248 B
MultiKeyMap_TryGetFullKeysByPartialKey,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,OptimizedForNonPositionalSearch,False,True,93.58 ns,0.3798 ns,0.3172 ns,0.74,0.00,0.0190,80 B
MultiKeyMap_Mixed_Positional_TryGetFullKeysByPartialKey,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,OptimizedForNonPositionalSearch,False,True,128.09 ns,0.7851 ns,0.7344 ns,1.01,0.01,0.0284,120 B
MultiKeyMap_Only_Positional_TryGetFullKeysByPartialKey,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,OptimizedForNonPositionalSearch,False,True,128.19 ns,0.6311 ns,0.5903 ns,1.01,0.01,0.0284,120 B
Dictionary_TryGetValue,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,OptimizedForNonPositionalSearch,False,True,126.94 ns,0.5962 ns,0.5285 ns,1.00,0.00,0.0303,128 B
MultiKeyMap_TryGetFullKeysByPartialKey,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,OptimizedForNonPositionalSearch,True,False,94.11 ns,0.5755 ns,0.5383 ns,0.12,0.00,0.0190,80 B
MultiKeyMap_Mixed_Positional_TryGetFullKeysByPartialKey,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,OptimizedForNonPositionalSearch,True,False,128.34 ns,0.3655 ns,0.3052 ns,0.16,0.00,0.0284,120 B
